sheet.id,population,rgr.week1,rgr.week2,sumovicells,survivalweek2
1,DI,0.199084385,0.251941227,144,1
2,DI,0.178826435,NA,0,0
3,DI,0.199084385,0.243535442,485,1
4,DI,0.216212239,0.169940581,133,1
5,DI,0.178826435,0.224087988,0,1
6,DI,0.199084385,0.220063577,2,1
7,DI,NA,NA,0,0
8,DI,0.216212239,0.289197395,867,1
9,DI,0.199084385,0.251941227,191,1
10,DI,0.216212239,0.275041552,346,1
11,DI,0.23104906,0.202438003,398,1
12,DI,0.154032707,NA,0,0
13,DI,0.244136064,0.268616124,116,1
14,DI,0.216212239,0.241668002,374,1
15,DI,0.122068032,0.247800151,108,1
16,DI,NA,NA,0,0
17,DI,0.199084385,0.086590829,68,1
18,DI,0.077016353,0.130898676,0,1
19,DI,0.178826435,0.224087988,91,1
20,DI,0.244136064,0.220063577,280,1
21,DI,0.178826435,0.246109514,278,1
22,DI,0.216212239,0.225778625,15,1
23,DI,0.199084385,NA,0,0
24,DI,0.178826435,0.25112256,1375,1
25,DI,0.199084385,0.225076623,121,1
26,DI,0.178826435,0,0,1
27,DI,0.178826435,0.289735464,173,1
28,DI,0.216212239,0.237858252,85,1
29,DI,0.199084385,0.290983132,1572,1
30,DI,0.199084385,0.277987164,1240,1
31,DI,0.199084385,0.247800151,895,1
32,DI,0.178826435,0.190714438,132,1
33,DI,0.216212239,0.272033922,244,1
34,DI,0.216212239,0.035902061,0,1
35,DI,0.178826435,-0.130898676,0,1
36,DI,0.199084385,0.225076623,181,1
37,DI,0.199084385,0.2148682,202,1
38,DI,NA,NA,0,0
40,DI,0.199084385,0.284632881,640,1
41,DI,NA,NA,0,0
42,DI,0.122068032,0.099021026,344,1
43,DI,0.216212239,-0.121042551,118,1
44,DI,0.199084385,0.263689527,163,1
45,DI,0.23104906,0.218782339,146,1
50,OMT,0.173286795,NA,0,0
51,OMT,0,0,0,1
52,OMT,0.201179739,0.205012075,66,1
53,OMT,0.201179739,0.067143376,0,1
57,OMT,0,0.198042052,0,1
58,OMT,0.201179739,0.224087988,111,1
59,OMT,0.201179739,-0.229919702,0,1
62,OMT,0.201179739,0.067143376,0,1
65,OMT,0.201179739,0.246109514,0,1
74,OMT,0.243238769,0.275041552,114,1
80,OMT,0.243238769,0.237858252,340,1
81,OMT,0.137326536,0.229919702,52,1
84,OMT,0.173286795,0.178966138,92,1
87,OMT,0.223969934,0.263689527,89,1
90,OMT,0.201179739,0.273846087,0,1
91,OMT,0.137326536,0.290983132,281,1
93,OMT,0.223969934,0.203873765,13,1
96,OMT,0.137326536,0.121042551,0,1
100,OMT,0.201179739,0.190714438,0,1
103,OMT,0.137326536,0.209476724,0,1
110,OMT,0.173286795,0.2148682,3,1
116,OMT,0,0.099021026,0,1
117,OMT,0.173286795,0.229919702,0,1
120,OMT,0.201179739,0.198042052,0,1
129,OMT,0.086643398,0.267400311,38,1
131,OMT,0.201179739,0.224087988,0,1
132,OMT,0,NA,0,0
136,OMT,0.201179739,0.282011575,125,1
138,OMT,0.173286795,0.236889725,22,1
150,OMT,0.086643398,0.057923587,0,1
156,OMT,0.173286795,0.2148682,0,1
158,OMT,0.201179739,0.198042052,0,1
160,OMT,0.086643398,0.178966138,0,1
163,OMT,0.201179739,0.136501635,0,1
164,OMT,0.223969934,0.203873765,2,1
168,OMT,0.201179739,0.235522661,38,1
169,OMT,0.201179739,0.067143376,0,1
170,OMT,0.223969934,0.2148682,0,1
171,OMT,0.201179739,0.224087988,8,1
176,OMT,0.173286795,0.2148682,0,1
181,OMT,0.223969934,0.220063577,0,1
184,OMT,NA,NA,0,0
186,OMT,0,0.099021026,0,1
188,OMT,NA,NA,0,0
189,OMT,0.243238769,0.241668002,4,1
195,OMT,0.223969934,0.171996115,0,1
199,OMT,0.137326536,0.140118465,0,1
200,OMT,0.137326536,0.220063577,0,1
202,OMT,0.201179739,NA,0,0
208,OMT,0,NA,0,0
209,OMT,0.223969934,0.259879778,63,1
212,OMT,0.086643398,0.243535442,0,1
213,OMT,0.173286795,0.03187765,0,1